	Gene_symbol	variable	value
0	NRXN3	extracellular	0.94
1	NRXN3	membrane	0.94
2	NRXN3	secretory-pathway	0.7
3	NRXN3	extracellular	0.94
4	NRXN3	membrane	0.9706
5	NRXN3	extracellular	0.94
6	NRXN3	membrane	0.94
7	NRXN3	secretory-pathway	0.7
8	NRXN3	extracellular	0.94
9	NRXN3	membrane	0.9706
10	NRXN3	extracellular	0.94
11	NRXN3	membrane	0.94
12	NRXN3	secretory-pathway	0.7
13	NRXN3	extracellular	0.94
14	NRXN3	membrane	0.9706
15	POLR2M	cytosol	0.8
16	POLR2M	nucleus	0.9964
17	POLR2M	cytosol	0.79
18	POLR2M	extracellular	0.7
19	POLR2M	mitochondrion	0.7
20	POLR2M	nucleus	0.9976
21	STARD9	cytosol	0.99928
22	STARD9	nucleus	0.94
23	STARD9	cytosol	0.8
24	STARD9	nucleus	0.30000000000000004
25	STARD9	cytosol	0.8
26	STARD9	nucleus	0.30000000000000004
27	STARD9	cytosol	0.8
28	STARD9	nucleus	0.30000000000000004
29	GPR52	cytosol	0.8
30	GPR52	nucleus	0.94
31	GPR52	secretory-pathway	0.7
32	GPR52	cytosol	0.982
33	GPR52	membrane	0.7
34	GPR52	nucleus	0.99892
35	GPR52	secretory-pathway	0.988
36	ENSG00000196531	cytosol	0.992
37	ENSG00000196531	nucleus	0.982
38	ENSG00000196531	cytosol	0.8600000000000001
39	ENSG00000196531	nucleus	0.30000000000000004
40	NRXN2	extracellular	0.94
41	NRXN2	membrane	0.853
42	NRXN2	secretory-pathway	0.8
43	NRXN2	extracellular	0.94
44	NRXN2	membrane	0.8
45	HLA-DRB1	cytosol	0.958
46	HLA-DRB1	extracellular	0.94
47	HLA-DRB1	membrane	0.99412
48	HLA-DRB1	secretory-pathway	0.98352914
49	HLA-DRB1	cytosol	0.7
50	HLA-DRB1	extracellular	0.94
51	HLA-DRB1	membrane	0.7
52	HLA-DRB1	cytosol	0.7
53	HLA-DRB1	extracellular	0.94
54	HLA-DRB1	membrane	0.7
55	HLA-DRB1	extracellular	0.8
56	HLA-DRB1	membrane	0.7
57	NRXN2	extracellular	0.94
58	NRXN2	membrane	0.853
59	NRXN2	secretory-pathway	0.8
60	NRXN2	extracellular	0.94
61	NRXN2	membrane	0.8
62	ZFP64	cytosol	0.7
63	ZFP64	nucleus	0.982
64	ZFP64	nucleus	0.9874
65	HLA-DRB1	cytosol	0.958
66	HLA-DRB1	extracellular	0.94
67	HLA-DRB1	membrane	0.99412
68	HLA-DRB1	secretory-pathway	0.98352914
69	HLA-DRB1	cytosol	0.7
70	HLA-DRB1	extracellular	0.94
71	HLA-DRB1	membrane	0.7
72	HLA-DRB1	cytosol	0.7
73	HLA-DRB1	extracellular	0.94
74	HLA-DRB1	membrane	0.7
75	HLA-DRB1	extracellular	0.8
76	HLA-DRB1	membrane	0.7
77	SIRPB1	cytosol	0.30000000000000004
78	SIRPB1	extracellular	0.94
79	SIRPB1	membrane	0.9706
80	SIRPB1	secretory-pathway	0.79
81	SIRPB1	cytosol	0.30000000000000004
82	SIRPB1	extracellular	0.8
83	SIRPB1	membrane	0.94
84	CUX1	extracellular	0.8
85	CUX1	membrane	0.8
86	CUX1	nucleus	0.94
87	CUX1	secretory-pathway	0.96
88	CUX1	cytosol	0.30000000000000004
89	CUX1	membrane	0.8
90	CUX1	nucleus	0.999784
91	CUX1	secretory-pathway	0.9976
