	Gene_symbol	variable	value
0	HLA-DQB1	membrane	0.8
1	HLA-DQB1	secretory-pathway	0.8
2	HLA-DQB1	secretory-pathway	0.8
3	HLA-DQB1	secretory-pathway	0.8
4	HLA-DQB1	secretory-pathway	0.8
5	HLA-DQB1	secretory-pathway	0.8
6	HLA-DQB1	membrane	0.8
7	HLA-DQB1	secretory-pathway	0.8
8	HLA-DQB1	secretory-pathway	0.8
9	HLA-DQB1	secretory-pathway	0.8
10	HLA-DQB1	secretory-pathway	0.8
11	HLA-DQB1	secretory-pathway	0.8
12	ZNF585B	nucleus	0.7
13	ZNF585B	nucleus	0.8
14	ZNF585B	nucleus	0.7
15	ZNF585B	nucleus	0.8
16	SAMD1	cytosol	0.8
17	SAMD1	mitochondrion	0.8
18	SAMD1	nucleus	0.7
19	SAMD1	cytosol	0.8
20	SAMD1	mitochondrion	0.8
21	CASP8AP2	nucleus	0.96
22	CASP8AP2	nucleus	0.96
23	HLA-DQB1	membrane	0.8
24	HLA-DQB1	secretory-pathway	0.8
25	HLA-DQB1	secretory-pathway	0.8
26	HLA-DQB1	secretory-pathway	0.8
27	HLA-DQB1	secretory-pathway	0.8
28	HLA-DQB1	secretory-pathway	0.8
