	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Ensemble ID	Gene_symbol	N/A	Protein Name	cytosol	extracellular	membrane	mitochondrion	nucleus	secretory-pathway	Reviewed
0	0	0	0	ENSG00000198799	LRIG2	0.0	O94898	0.902	0.94	0.9794200000000001	0.0	0.8	0.8	Reviewed
1	1	1	0	ENSG00000142621	FHAD1	0.0	B1AJZ9	0.91	0.0	0.0	0.0	0.7	0.0	Reviewed
2	2	2	0	ENSG00000163395	IGFN1	0.0	Q86VF2	0.973	0.0	0.8	0.0	0.7	0.0	Reviewed
3	3	3	0	ENSG00000183310	OR2T34	0.0	Q8NGX1	0.0	0.8	0.9874	0.0	0.0	0.0	Reviewed
4	4	4	0	ENSG00000142675	CNKSR1	0.0	Q969H4	0.9976	0.8	0.9804	0.0	0.7	0.0	Reviewed
5	5	5	0	ENSG00000159023	EPB41	0.0	P11171	0.99997984	0.0	0.9998431999999999	0.0	0.958	0.0	Reviewed
6	6	6	0	ENSG00000146463	ZMYM4	0.0	Q5VZL5	0.94	0.0	0.0	0.0	0.9983799999999999	0.0	Reviewed
7	7	7	0	ENSG00000127603	KIAA0754	0.0	Q9UPN3	0.99996976	0.8	0.9984	0.0	0.0	0.8	Reviewed
8	8	8	0	ENSG00000159658	TEX38	0.0	O75071	0.94	0.0	0.0	0.0	0.94	0.8	Reviewed
9	9	9	0	ENSG00000186564	FOXD2	0.0	O60548	0.0	0.0	0.0	0.0	0.9919	0.0	Reviewed
10	10	10	0	ENSG00000088035	ALG6	0.0	Q9Y672	0.0	0.8	0.853	0.0	0.0	0.9983799999999999	Reviewed
11	11	11	0	ENSG00000097096	SYDE2	0.0	Q5VT97	0.937	0.0	0.0	0.0	0.94	0.8	Reviewed
12	12	12	0	ENSG00000107897	ACBD5	0.0	Q5T8D3	0.9916	0.8	0.853	0.0	0.96	0.0	Reviewed
13	13	13	0	ENSG00000151655	ITIH2	0.0	P19823	0.30000000000000004	0.853	0.8	0.0	0.0	0.958	Reviewed
14	14	14	0	ENSG00000082175	PGR	0.0	P06401	0.30000000000000004	0.8	0.0	0.30000000000000004	0.9811	0.0	Reviewed
15	15	15	0	ENSG00000149428	HYOU1	0.0	Q9Y4L1	0.8600000000000001	0.8600000000000001	0.902	0.0	0.0	0.99913564	Reviewed
16	16	16	0	ENSG00000129084	PSMA1	0.0	P25786	0.9999901216	0.0	0.0	0.0	0.9996799999999999	0.0	Reviewed
